config_id,config_name,trial_idx,length,runtime,gap_pct
10,100% Best (Exploitation),26,265383.45490990515,23.057515382766724,5.442747980582441
9,100% Continuation (No Resets),27,266489.31427383266,25.540530920028687,5.882130496919635
10,100% Best (Exploitation),27,264625.6321195847,25.641695261001587,5.141648134245647
9,100% Continuation (No Resets),28,266774.21748301305,23.349433660507202,5.995328877333628
10,100% Best (Exploitation),28,265068.6227719687,24.18742060661316,5.317658171242634
9,100% Continuation (No Resets),29,266786.9739948448,23.138763189315796,6.000397323151563
10,100% Best (Exploitation),29,265213.2354230145,23.55402159690857,5.375115993261725
9,100% Continuation (No Resets),30,267455.3090940534,24.58433723449707,6.265941719867452
10,100% Best (Exploitation),30,266983.42919902183,24.315671920776367,6.078453344355084
9,100% Continuation (No Resets),31,265675.54539791914,23.08862543106079,5.558802026700871
10,100% Best (Exploitation),31,266407.16497266915,23.40070605278015,5.849490752809339
9,100% Continuation (No Resets),32,266879.7256218229,25.896636962890625,6.037249607072415
10,100% Best (Exploitation),32,265286.3618308565,25.923736572265625,5.404170741212844
9,100% Continuation (No Resets),33,266701.6627180055,24.08821725845337,5.966501255792256
10,100% Best (Exploitation),33,265223.2950112717,24.42521071434021,5.379112891371873
9,100% Continuation (No Resets),34,267185.28142850345,25.867167234420776,6.1586537237260375
10,100% Best (Exploitation),34,265569.0122589823,26.808033227920532,5.516474041618635
9,100% Continuation (No Resets),35,266637.280999168,24.920666456222534,5.940920967238683
10,100% Best (Exploitation),35,266049.27297752176,25.18983221054077,5.707292304675482
9,100% Continuation (No Resets),36,267253.9903892351,28.117841720581055,6.185953321709237
10,100% Best (Exploitation),36,265264.8775714526,27.097577571868896,5.395634567205154
9,100% Continuation (No Resets),37,266234.6010327734,27.87252640724182,5.780927262175983
10,100% Best (Exploitation),37,265100.29227585555,27.79835844039917,5.330241169373173
9,100% Continuation (No Resets),38,266549.80620769976,25.69623827934265,5.906165287407128
10,100% Best (Exploitation),38,265381.95843114174,25.425600051879883,5.4421533962924595
9,100% Continuation (No Resets),39,266702.7457628525,26.43860411643982,5.966931573593692
10,100% Best (Exploitation),39,265098.193308225,25.254845142364502,5.329407202858727
9,100% Continuation (No Resets),40,265933.35581241676,24.727604150772095,5.661235837323586
10,100% Best (Exploitation),40,265960.82721407653,24.880074977874756,5.672150836085921
9,100% Continuation (No Resets),41,265316.44786628115,25.372697353363037,5.416124592111715
10,100% Best (Exploitation),41,265995.84888005944,25.36876893043518,5.686065722759426
9,100% Continuation (No Resets),42,266938.6740936015,25.250391483306885,6.060671145750107
10,100% Best (Exploitation),42,265208.7318853295,25.18704056739807,5.373326637594067
9,100% Continuation (No Resets),43,266823.9018946627,25.051538228988647,6.015069598916711
10,100% Best (Exploitation),43,265167.45079465053,25.28433585166931,5.356924742297697
9,100% Continuation (No Resets),44,266667.6057561006,25.738035678863525,5.952969667501118
10,100% Best (Exploitation),44,266991.2537244373,25.49935221672058,6.081562202297008
9,100% Continuation (No Resets),45,267318.0701664676,25.485952615737915,6.211413642148833
10,100% Best (Exploitation),45,264754.1433348929,24.724111557006836,5.192708497797782
9,100% Continuation (No Resets),46,266781.2562030231,25.397583961486816,5.998125517313957
10,100% Best (Exploitation),46,265597.92621976073,25.387990713119507,5.5279622011970675
9,100% Continuation (No Resets),47,266839.72736565163,25.00447916984558,6.021357410452399
10,100% Best (Exploitation),47,264882.3777110662,24.900566339492798,5.2436588670055295
9,100% Continuation (No Resets),48,266547.6523575615,25.396480798721313,5.905309514851931
10,100% Best (Exploitation),48,265882.5980665467,25.324896335601807,5.641068656186943
9,100% Continuation (No Resets),49,266740.3641158937,24.62877321243286,5.981878181778133
10,100% Best (Exploitation),49,265397.4440061361,25.178765773773193,5.448306159591199
9,100% Continuation (No Resets),50,266769.69051967154,25.589859008789062,5.993530214131737
10,100% Best (Exploitation),50,265439.5848031037,24.56490683555603,5.4650496353134015
11,50% Best + 50% fresh Hilbert,2,265110.90605460515,24.287500858306885,5.334458259689501
12,75% Best + 25% fresh Hilbert,2,265135.34312861226,24.664964199066162,5.344167652600951
11,50% Best + 50% fresh Hilbert,3,265950.17364230694,25.92788815498352,5.66791793511785
12,75% Best + 25% fresh Hilbert,3,265377.1463933557,26.41339874267578,5.440241466674545
11,50% Best + 50% fresh Hilbert,4,266185.3288605298,24.989590167999268,5.761350332475912
12,75% Best + 25% fresh Hilbert,4,265510.5500224711,25.065812349319458,5.49324569502514
11,50% Best + 50% fresh Hilbert,5,266501.8967212008,26.720685243606567,5.8871297830555
12,75% Best + 25% fresh Hilbert,5,265385.8291996806,26.005141019821167,5.443691338707413
11,50% Best + 50% fresh Hilbert,6,266257.4535976603,25.624930381774902,5.790007094379157
12,75% Best + 25% fresh Hilbert,6,265632.3477368967,24.436674118041992,5.541638635388169
11,50% Best + 50% fresh Hilbert,7,265169.7711560052,24.729246377944946,5.357846673461886
12,75% Best + 25% fresh Hilbert,7,266622.51733534405,24.919333457946777,5.935055035301118
11,50% Best + 50% fresh Hilbert,8,266365.8562967019,25.171521425247192,5.833077897264505
12,75% Best + 25% fresh Hilbert,8,265372.79432308127,25.68811011314392,5.438512292377307
11,50% Best + 50% fresh Hilbert,9,266079.06781154394,24.76758098602295,5.7191304547816735
12,75% Best + 25% fresh Hilbert,9,265765.12941335875,25.843852996826172,5.594395748119174
11,50% Best + 50% fresh Hilbert,10,266133.8321342767,26.024999618530273,5.7408895380003155
12,75% Best + 25% fresh Hilbert,10,265182.2096496211,24.84242296218872,5.36278876357088
11,50% Best + 50% fresh Hilbert,11,266881.38055793766,23.989761352539062,6.037907149991706
12,75% Best + 25% fresh Hilbert,11,265660.90567413106,25.183361530303955,5.552985338895611
11,50% Best + 50% fresh Hilbert,12,264257.31056652765,24.771214485168457,4.995305790831672
12,75% Best + 25% fresh Hilbert,12,265916.50129590137,24.11023259162903,5.654539163117311
11,50% Best + 50% fresh Hilbert,13,266220.2773733057,25.320775508880615,5.775236153753549
12,75% Best + 25% fresh Hilbert,13,265839.6271605811,24.099487781524658,5.623995359700662
11,50% Best + 50% fresh Hilbert,14,266144.73592760635,24.154103994369507,5.745221857558369
12,75% Best + 25% fresh Hilbert,14,265365.36491995153,24.66540002822876,5.435560425305863
11,50% Best + 50% fresh Hilbert,15,267054.3350621738,24.50892686843872,6.106625820522482
12,75% Best + 25% fresh Hilbert,15,265652.57733318146,24.446576833724976,5.549676303838602
11,50% Best + 50% fresh Hilbert,16,266266.72875543754,24.14867901802063,5.793692320816191
12,75% Best + 25% fresh Hilbert,16,265708.95829223486,24.99360990524292,5.572077712616674
11,50% Best + 50% fresh Hilbert,17,265813.23202633706,24.720475673675537,5.6135079859156
12,75% Best + 25% fresh Hilbert,17,266728.8065719257,25.141547679901123,5.977286112553948
11,50% Best + 50% fresh Hilbert,18,265513.7819670056,24.41862440109253,5.494529818457572
12,75% Best + 25% fresh Hilbert,18,266207.21982615686,24.03935194015503,5.770048099909997
11,50% Best + 50% fresh Hilbert,19,266266.276165014,25.24248218536377,5.793512496576647
12,75% Best + 25% fresh Hilbert,19,266006.28962588107,24.388965129852295,5.690214063245724
11,50% Best + 50% fresh Hilbert,20,265177.1385135817,23.946167945861816,5.360773888455328
12,75% Best + 25% fresh Hilbert,20,265406.0818320331,25.051442623138428,5.451738159899855
11,50% Best + 50% fresh Hilbert,21,265659.3022268198,25.140533208847046,5.5523482536229185
12,75% Best + 25% fresh Hilbert,21,266185.0532343688,23.94951558113098,5.76124082007301
11,50% Best + 50% fresh Hilbert,22,264922.7318912681,24.51097011566162,5.259692480157607
12,75% Best + 25% fresh Hilbert,22,265829.035069849,24.87305784225464,5.619786886515943
11,50% Best + 50% fresh Hilbert,23,265115.482166493,24.238149642944336,5.336276450701782
12,75% Best + 25% fresh Hilbert,23,266192.6852030596,24.51461100578308,5.764273170946321
11,50% Best + 50% fresh Hilbert,24,265463.525550948,23.73415446281433,5.474561826803526
12,75% Best + 25% fresh Hilbert,24,265049.7866796472,24.33492398262024,5.310174172904181
11,50% Best + 50% fresh Hilbert,25,265099.68426183745,25.119514226913452,5.329999591883339
12,75% Best + 25% fresh Hilbert,25,265298.84951482085,23.83910608291626,5.409132375741121
11,50% Best + 50% fresh Hilbert,26,266028.9377243878,24.039802312850952,5.699212656409336
12,75% Best + 25% fresh Hilbert,26,266466.40275748656,25.460423707962036,5.873027241990814
11,50% Best + 50% fresh Hilbert,27,265133.01176983054,24.13605833053589,5.343241351914418
12,75% Best + 25% fresh Hilbert,27,265293.04561545677,24.762667655944824,5.406826357462191
11,50% Best + 50% fresh Hilbert,28,266445.67435236415,24.73338222503662,5.864791385697132
12,75% Best + 25% fresh Hilbert,28,265434.5010889015,24.992121934890747,5.463029762614058
11,50% Best + 50% fresh Hilbert,29,265767.31577748735,24.48103976249695,5.595264439205749
12,75% Best + 25% fresh Hilbert,29,265536.70214736613,25.0285382270813,5.503636515791999
11,50% Best + 50% fresh Hilbert,30,265001.6421603541,24.589569568634033,5.291045284797002
12,75% Best + 25% fresh Hilbert,30,264840.66157126136,25.931445121765137,5.227084117017222
11,50% Best + 50% fresh Hilbert,31,264844.42737644224,24.846776962280273,5.228580355155965
12,75% Best + 25% fresh Hilbert,31,265202.51308309,24.325414180755615,5.37085576917653
11,50% Best + 50% fresh Hilbert,32,265988.5546937474,24.509710788726807,5.68316758033649
12,75% Best + 25% fresh Hilbert,32,266769.45319886203,24.34106755256653,5.993435921296797
11,50% Best + 50% fresh Hilbert,33,265470.0529099013,24.75488567352295,5.477155291664881
12,75% Best + 25% fresh Hilbert,33,264789.4726167292,24.096665859222412,5.206745607090313
11,50% Best + 50% fresh Hilbert,34,265361.43960789853,25.19513988494873,5.434000811539863
12,75% Best + 25% fresh Hilbert,34,264548.1998338673,24.68830442428589,5.110882565264596
11,50% Best + 50% fresh Hilbert,35,266849.6573090512,25.539083242416382,6.025302797777665
12,75% Best + 25% fresh Hilbert,35,265279.2498658155,25.55482816696167,5.401344999352942
11,50% Best + 50% fresh Hilbert,36,265099.715070821,24.03829789161682,5.33001183297761
12,75% Best + 25% fresh Hilbert,36,264890.84569613147,24.6376314163208,5.24702338577494
11,50% Best + 50% fresh Hilbert,37,265830.00705433224,25.014585256576538,5.620173077565216
12,75% Best + 25% fresh Hilbert,37,265110.40140872914,24.29134750366211,5.334257752661142
11,50% Best + 50% fresh Hilbert,38,266942.5641454166,24.695817947387695,6.062216749839511
12,75% Best + 25% fresh Hilbert,38,265134.34116148436,24.23082685470581,5.343769548780242
11,50% Best + 50% fresh Hilbert,39,265229.74495102966,24.718924045562744,5.3816755958653095
12,75% Best + 25% fresh Hilbert,39,265765.13663614425,24.328890323638916,5.59439861789246
11,50% Best + 50% fresh Hilbert,40,265972.85662144783,25.392468690872192,5.676930387133061
12,75% Best + 25% fresh Hilbert,40,264704.29973573086,24.37042212486267,5.172904527476141
11,50% Best + 50% fresh Hilbert,41,265935.2891422879,23.914295196533203,5.662003992272946
12,75% Best + 25% fresh Hilbert,41,265982.5942276068,24.37385892868042,5.680799354595623
11,50% Best + 50% fresh Hilbert,42,265645.5233067684,24.65165662765503,5.546873582283962
12,75% Best + 25% fresh Hilbert,42,264799.18493984314,24.33621048927307,5.210604529036877
11,50% Best + 50% fresh Hilbert,43,265866.34339938115,27.368172883987427,5.634610315466215
12,75% Best + 25% fresh Hilbert,43,266024.1870964406,26.448705196380615,5.697325126285957
11,50% Best + 50% fresh Hilbert,44,265949.32772060006,23.735087394714355,5.667581831612911
12,75% Best + 25% fresh Hilbert,44,266799.42606623645,23.623381853103638,6.00534480801278
11,50% Best + 50% fresh Hilbert,45,265918.1125993662,23.742507219314575,5.6551793698145225
12,75% Best + 25% fresh Hilbert,45,265762.0267971513,25.0870418548584,5.593163009706914
11,50% Best + 50% fresh Hilbert,46,265655.4261847476,25.918477535247803,5.550808215915892
12,75% Best + 25% fresh Hilbert,46,265279.4210204744,24.08560872077942,5.401413002904909
11,50% Best + 50% fresh Hilbert,47,265056.332442133,24.957777500152588,5.312774949898236
12,75% Best + 25% fresh Hilbert,47,265051.6783442362,23.890204668045044,5.3109257733104265
11,50% Best + 50% fresh Hilbert,48,265178.71155697416,23.398738384246826,5.361398893574987
12,75% Best + 25% fresh Hilbert,48,266712.7381811015,24.295053005218506,5.970901783565918
11,50% Best + 50% fresh Hilbert,49,266141.1942547259,24.30544948577881,5.743814672166603
12,75% Best + 25% fresh Hilbert,49,267022.8597875397,23.741345405578613,6.094119993993141
11,50% Best + 50% fresh Hilbert,50,267068.5898791148,24.402649879455566,6.112289576278229
12,75% Best + 25% fresh Hilbert,50,265431.9065449627,24.171440601348877,5.461998892612185
13,50% Best + 50% fresh Random,2,265382.9103904808,24.41855525970459,5.442531630906644
14,75% Best + 25% fresh Random,2,264844.36870468943,24.216095209121704,5.228557043563886
13,50% Best + 50% fresh Random,3,266194.49788195686,24.531031370162964,5.764993388580852
14,75% Best + 25% fresh Random,3,266013.8020859825,24.507779836654663,5.693198930698973
13,50% Best + 50% fresh Random,4,266021.9204810307,24.542304754257202,5.69642454958077
14,75% Best + 25% fresh Random,4,266293.805558934,24.56635332107544,5.8044505369535315
13,50% Best + 50% fresh Random,5,266178.56670592865,24.331222534179688,5.758663578082501
14,75% Best + 25% fresh Random,5,266190.9896045941,24.66737937927246,5.763599471970893
13,50% Best + 50% fresh Random,6,266392.5055781669,24.400395154953003,5.843666249391943
14,75% Best + 25% fresh Random,6,265927.87188417854,24.53947925567627,5.659056950688157
13,50% Best + 50% fresh Random,7,265651.69158401585,23.7726469039917,5.5493243759986655
14,75% Best + 25% fresh Random,7,265925.65076940134,24.1065092086792,5.658174452396136
13,50% Best + 50% fresh Random,8,267179.95694273786,24.439115524291992,6.156538187130511
14,75% Best + 25% fresh Random,8,265421.29015851126,23.869691371917725,5.457780766197917
13,50% Best + 50% fresh Random,9,266724.7389889539,24.389381647109985,5.975669971388209
14,75% Best + 25% fresh Random,9,266512.0044746689,24.483378648757935,5.891145818274968
13,50% Best + 50% fresh Random,10,265462.1717900805,24.120219707489014,5.474023947507223
14,75% Best + 25% fresh Random,10,265549.67488671874,24.495633125305176,5.508790873612224
13,50% Best + 50% fresh Random,11,265841.2286476579,24.436275243759155,5.62463166612861
14,75% Best + 25% fresh Random,11,265168.9021160801,23.988035678863525,5.357501384574759
13,50% Best + 50% fresh Random,12,265748.12627750135,25.64261555671692,5.587640024143448
14,75% Best + 25% fresh Random,12,266492.0787133651,25.293481826782227,5.883228870218837
13,50% Best + 50% fresh Random,13,266247.96343108895,23.353015422821045,5.78623644016707
14,75% Best + 25% fresh Random,13,265286.0343024506,24.71600914001465,5.404040606893923
13,50% Best + 50% fresh Random,14,265472.04652716947,24.6568021774292,5.477947400137673
14,75% Best + 25% fresh Random,14,267817.91243354033,24.163611888885498,6.410012089873818
13,50% Best + 50% fresh Random,15,267151.16448297154,23.825453281402588,6.145098302606011
14,75% Best + 25% fresh Random,15,265309.7867304856,24.348021268844604,5.413477974736147
13,50% Best + 50% fresh Random,16,266531.8509882193,24.05757188796997,5.899031279436451
